Step,Observation,Possible Substitution,Substitution Tested,Result,Decision
1,"High-frequency ciphertext letter","T -> E","T -> E","___E_______ ____________________. _E _______E ____ _E_____ __ __E_E_____ _____E_ E______E__ _E________ __ _E__E__ _E__E_","Accepted as frequency candidate"
2,"High-frequency ciphertext letter","Z -> T","Z -> T","___E_______ _____T____________T_. _E _______E T___ _E_T___ __ __E_E_T___ ___T_E_ E______E_T _E____T___ __ _E__E_T _E__E_","Accepted as frequency candidate"
3,"High-frequency ciphertext letter","O -> A","O -> A","___E____A__ A__A_TA___A____A_AT_. _E _______E T_A_ _E_TA__ __ __E_E_TA__ ___T_E_ E__A___E_T _E_A_ATA__ __ _E__E_T _E__E_","Accepted as frequency candidate"
4,"High-frequency ciphertext letter","F -> O","F -> O","___E____A__ AO_A_TAO__A____A_AT_. _E __O____E T_A_ _E_TA_O __ __E_EOTAO_ _O_T_E_ E__A___EOT _E_AOATA_O __ _E__E_T _E__E_","Accepted as frequency candidate"
5,"High-frequency ciphertext letter","Q -> I","Q -> I","I__E__I_AI_ AO_A_TAO__A__I_A_AT_. _E __O____E T_A_ _E_TA_O __ __E_EOTAO_ IO_T_E_ E__A_I_EOT _E_AOATA_O __ _E__E_T _E__E_","Accepted as frequency candidate"
6,"High-frequency ciphertext letter","L -> N","L -> N","I__E_NI_AI_ AO_ANTAO__AN_I_A_AT_. _E __O____E T_AN NE_TA_O __ __ENEOTAO_ IO_T_E_ E__A_I_EOT _E_AOATA_O __ _E__E_T NE__E_","Accepted as frequency candidate"
7,"High-frequency ciphertext letter","G -> S","G -> S","I__E_NI_AI_ AO_ANTAO__AN_I_A_AT_. _E _SO____E T_AN NE_TASO __ __ENEOTAO_ IOST_E_ E__A_I_EOT _E_AOATASO S_ _E__E_T NE__E_","Accepted as frequency candidate"
8,"High-frequency ciphertext letter","K -> H","K -> H","I__EHNIHAI_ AO_ANTAO__AN_I_A_AT_. _E _SO____E T_AN NE_TASO __ _HENEOTAO_ IOST_EH E__A_I_EOT _E_AOATASO S_ _EH_E_T NE_HE_","Accepted as frequency candidate"
9,"High-frequency ciphertext letter","I -> R","I -> R","I__EHNIHAI_ AO_ANTAO__ANRI_A_AT_. _E _SO____E TRAN NE_TASO __ _HENEOTAO_ IOSTREH E__A_I_EOT _E_AOATASO S_ _EH_E_T NE_HE_","Accepted as frequency candidate"
10,"High-frequency ciphertext letter","E -> D","E -> D","I__EHNIHAI_ AO_ANTAO__ANRI_A_AT_. _E DSOD___E TRAN NEDTASO __ _HENEOTAO_ IOSTREH E__A_I_EOT _E_AOATASO S_ _EH_EDT NEDHED","Accepted as frequency candidate"
